white,black,time_ratio_mean
nega-attack-2,mcts-05-10k-epsilon-95,0.021474948709678338
mcts-05-10k-epsilon-95,mcts-05-10k-random,1.2654057377455021
nega-attack-2,mcts-05-10k-random,0.03534555938030437
nega-attack-2,mcts-10-10k-epsilon-75,0.009746843400539194
nega-attack-2,mcts-10-10k-epsilon-95,0.01768921576786176
nega-attack-2,mcts-10-10k-random,0.02446586724194889
nega-attack-2,mcts-full-1k-random,0.021630525989582643
nega-attack-2,nega-aggro-1,29.193109772918795
nega-attack-2,nega-aggro-2,3.5177854433379077
nega-attack-2,nega-aggro-3,0.2264570484342412
nega-attack-2,nega-attack-1,12.242438882307974
nega-attack-2,nega-attack-2,1.0498211828260775
mcts-05-10k-epsilon-95,mcts-10-10k-epsilon-75,0.36892579685322924
nega-attack-2,nega-attack-3,0.07600021325266641
nega-attack-2,nega-center-1,30.520606212396622
nega-attack-2,nega-center-2,2.9285972949814076
nega-attack-2,nega-center-3,0.19450955154763389
nega-attack-2,nega-pieces-1,408.62301791107257
nega-attack-2,nega-pieces-2,44.687260582770385
nega-attack-2,nega-pieces-3,5.268529008843127
nega-attack-2,random,8325.116232517501
nega-attack-3,mcts-05-10k-epsilon-75,0.3522737376799936
nega-attack-3,mcts-05-10k-epsilon-95,0.5764402995284035
mcts-05-10k-epsilon-95,mcts-10-10k-epsilon-95,0.7261361480552981
nega-attack-3,mcts-05-10k-random,0.7290420078876166
nega-attack-3,mcts-10-10k-epsilon-75,0.2017025268646675
nega-attack-3,mcts-10-10k-epsilon-95,0.41244385092933716
nega-attack-3,mcts-10-10k-random,0.633962473395537
nega-attack-3,mcts-full-1k-random,0.5645197707590274
nega-attack-3,nega-aggro-1,728.5159951034655
nega-attack-3,nega-aggro-2,53.663514799346615
nega-attack-3,nega-aggro-3,3.4201218248052463
nega-attack-3,nega-attack-1,289.56481645731276
nega-attack-3,nega-attack-2,14.820846256082968
mcts-05-10k-epsilon-95,mcts-10-10k-random,1.0323763881124077
nega-attack-3,nega-attack-3,1.1974365315663635
nega-attack-3,nega-center-1,781.5080483473736
nega-attack-3,nega-center-2,51.29237726065561
nega-attack-3,nega-center-3,3.1615903647106793
nega-attack-3,nega-pieces-1,12483.268940768327
nega-attack-3,nega-pieces-2,1004.3053084335028
nega-attack-3,nega-pieces-3,75.4703911538874
nega-attack-3,random,173624.2297499272
nega-center-1,mcts-05-10k-epsilon-75,0.0007438790858830577
nega-center-1,mcts-05-10k-epsilon-95,0.0013325443457042475
mcts-05-10k-epsilon-95,mcts-full-1k-random,0.822333818089285
nega-center-1,mcts-05-10k-random,0.0015594978863831901
nega-center-1,mcts-10-10k-epsilon-75,0.00048335789889294946
nega-center-1,mcts-10-10k-epsilon-95,0.0009648709353882867
nega-center-1,mcts-10-10k-random,0.0013430823691291515
nega-center-1,mcts-full-1k-random,0.0008375191793541044
nega-center-1,nega-aggro-1,1.2505126863859037
nega-center-1,nega-aggro-2,0.09200285733238749
nega-center-1,nega-aggro-3,0.004317773906056187
nega-center-1,nega-attack-1,0.3128161315241346
nega-center-1,nega-attack-2,0.030911496099640105
mcts-05-10k-epsilon-95,nega-aggro-1,888.0966206701394
nega-center-1,nega-attack-3,0.0018965506120522807
nega-center-1,nega-center-1,0.8344223971282982
nega-center-1,nega-center-2,0.10094136043451225
nega-center-1,nega-center-3,0.005176811262093658
nega-center-1,nega-pieces-1,10.814789370566126
